,type,from,to,arcrole,order,weight
58,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_PropertyPlantAndEquipmentAbstract,http://www.xbrl.org/2003/arcrole/parent-child,1,
59,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_IntangibleAssetsAbstract,http://www.xbrl.org/2003/arcrole/parent-child,2,
60,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_NoncurrentAssets,http://www.xbrl.org/2003/arcrole/parent-child,4,
61,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_LongTermLoansPayable,http://www.xbrl.org/2003/arcrole/parent-child,1,
62,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_LeaseObligationsNCL,http://www.xbrl.org/2003/arcrole/parent-child,2,
63,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_DeferredTaxLiabilities,http://www.xbrl.org/2003/arcrole/parent-child,3,
64,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,tse-qcedjpfr-47260_ContractLiabilitiesNCL,http://www.xbrl.org/2003/arcrole/parent-child,4,
65,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_NetDefinedBenefitLiability,http://www.xbrl.org/2003/arcrole/parent-child,5,
66,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_AssetRetirementObligationsNCL,http://www.xbrl.org/2003/arcrole/parent-child,6,
67,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_OtherNCL,http://www.xbrl.org/2003/arcrole/parent-child,7,
68,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_NoncurrentLiabilities,http://www.xbrl.org/2003/arcrole/parent-child,8,
69,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_BuildingsNet,http://www.xbrl.org/2003/arcrole/parent-child,1,
70,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_ToolsFurnitureAndFixturesNet,http://www.xbrl.org/2003/arcrole/parent-child,2,
71,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_OtherNetPPE,http://www.xbrl.org/2003/arcrole/parent-child,3,
72,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_PropertyPlantAndEquipment,http://www.xbrl.org/2003/arcrole/parent-child,4,
73,arc,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,jppfs_cor_BalanceSheetTable,http://www.xbrl.org/2003/arcrole/parent-child,1,
74,arc,jppfs_cor_QuarterlyConsolidatedBalanceSheetHeading,jppfs_cor_BalanceSheetLineItems,http://www.xbrl.org/2003/arcrole/parent-child,2,
75,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_CapitalStock,http://www.xbrl.org/2003/arcrole/parent-child,1,
76,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_CapitalSurplus,http://www.xbrl.org/2003/arcrole/parent-child,2,
77,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_RetainedEarnings,http://www.xbrl.org/2003/arcrole/parent-child,3,
78,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_TreasuryStock,http://www.xbrl.org/2003/arcrole/parent-child,4,
79,arc,jppfs_cor_ShareholdersEquityAbstract,jppfs_cor_ShareholdersEquity,http://www.xbrl.org/2003/arcrole/parent-child,5,
80,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ValuationDifferenceOnAvailableForSaleSecurities,http://www.xbrl.org/2003/arcrole/parent-child,1,
81,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ForeignCurrencyTranslationAdjustment,http://www.xbrl.org/2003/arcrole/parent-child,2,
82,arc,jppfs_cor_ValuationAndTranslationAdjustmentsAbstract,jppfs_cor_ValuationAndTranslationAdjustments,http://www.xbrl.org/2003/arcrole/parent-child,3,
83,arc,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,jppfs_cor_ComprehensiveIncomeAttributableToOwnersOfTheParent,http://www.xbrl.org/2003/arcrole/parent-child,1,
84,arc,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,jppfs_cor_ComprehensiveIncomeAttributableToNonControllingInterests,http://www.xbrl.org/2003/arcrole/parent-child,2,
85,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember,http://www.xbrl.org/2003/arcrole/parent-child,1,
86,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_GainOnSalesOfInvestmentSecuritiesEI,http://www.xbrl.org/2003/arcrole/parent-child,1,
87,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_CompensationIncomeEI,http://www.xbrl.org/2003/arcrole/parent-child,2,
88,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_GainOnReversalOfSubscriptionRightsToSharesEI,http://www.xbrl.org/2003/arcrole/parent-child,3,
89,arc,jppfs_cor_ExtraordinaryIncomeAbstract,tse-qcedjpfr-47260_SubsidiariesDirectorsRetirementAllowanceRepaymentGainEI,http://www.xbrl.org/2003/arcrole/parent-child,4,
90,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_ExtraordinaryIncome,http://www.xbrl.org/2003/arcrole/parent-child,5,
91,arc,jppfs_cor_ExtraordinaryLossAbstract,jppfs_cor_ImpairmentLossEL,http://www.xbrl.org/2003/arcrole/parent-child,1,
92,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostEL,http://www.xbrl.org/2003/arcrole/parent-child,2,
93,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SalariesAndAllowanceForPriorPeriodsEL,http://www.xbrl.org/2003/arcrole/parent-child,3,
94,arc,jppfs_cor_ExtraordinaryLossAbstract,jppfs_cor_ExtraordinaryLoss,http://www.xbrl.org/2003/arcrole/parent-child,4,
95,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_InterestExpensesNOE,http://www.xbrl.org/2003/arcrole/parent-child,1,
96,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_ContributionNOE,http://www.xbrl.org/2003/arcrole/parent-child,2,
97,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_LossOnInvestmentsInPartnershipNOE,http://www.xbrl.org/2003/arcrole/parent-child,3,
98,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_ForeignExchangeLossesNOE,http://www.xbrl.org/2003/arcrole/parent-child,4,
99,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_CommissionFeeNOE,http://www.xbrl.org/2003/arcrole/parent-child,5,
100,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_MiscellaneousLossNOE,http://www.xbrl.org/2003/arcrole/parent-child,6,
101,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_NonOperatingExpenses,http://www.xbrl.org/2003/arcrole/parent-child,7,
102,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_InterestIncomeNOI,http://www.xbrl.org/2003/arcrole/parent-child,1,
103,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_DividendsIncomeNOI,http://www.xbrl.org/2003/arcrole/parent-child,2,
104,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_EquityInEarningsOfAffiliatesNOI,http://www.xbrl.org/2003/arcrole/parent-child,3,
105,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_GainOnInvestmentsInPartnershipNOI,http://www.xbrl.org/2003/arcrole/parent-child,4,
106,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_SubsidyIncomeNOI,http://www.xbrl.org/2003/arcrole/parent-child,5,
107,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_MiscellaneousIncomeNOI,http://www.xbrl.org/2003/arcrole/parent-child,6,
108,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_NonOperatingIncome,http://www.xbrl.org/2003/arcrole/parent-child,7,
109,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_OtherComprehensiveIncomeAbstract,http://www.xbrl.org/2003/arcrole/parent-child,19,
110,arc,jppfs_cor_OtherComprehensiveIncomeAbstract,jppfs_cor_ValuationDifferenceOnAvailableForSaleSecuritiesNetOfTaxOCI,http://www.xbrl.org/2003/arcrole/parent-child,1,
111,arc,jppfs_cor_OtherComprehensiveIncomeAbstract,jppfs_cor_ForeignCurrencyTranslationAdjustmentNetOfTaxOCI,http://www.xbrl.org/2003/arcrole/parent-child,2,
112,arc,jppfs_cor_OtherComprehensiveIncomeAbstract,jppfs_cor_OtherComprehensiveIncome,http://www.xbrl.org/2003/arcrole/parent-child,3,
113,arc,jppfs_cor_YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,jppfs_cor_StatementOfIncomeLineItems,http://www.xbrl.org/2003/arcrole/parent-child,2,
114,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_NetSales,http://www.xbrl.org/2003/arcrole/parent-child,1,
115,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_CostOfSales,http://www.xbrl.org/2003/arcrole/parent-child,2,
116,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_GrossProfit,http://www.xbrl.org/2003/arcrole/parent-child,3,
117,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_SellingGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/arcrole/parent-child,4,
118,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_OperatingIncome,http://www.xbrl.org/2003/arcrole/parent-child,5,
119,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_NonOperatingIncomeAbstract,http://www.xbrl.org/2003/arcrole/parent-child,6,
120,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_NonOperatingExpensesAbstract,http://www.xbrl.org/2003/arcrole/parent-child,7,
121,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_OrdinaryIncome,http://www.xbrl.org/2003/arcrole/parent-child,8,
122,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ExtraordinaryIncomeAbstract,http://www.xbrl.org/2003/arcrole/parent-child,9,
123,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ExtraordinaryLossAbstract,http://www.xbrl.org/2003/arcrole/parent-child,10,
124,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeBeforeIncomeTaxes,http://www.xbrl.org/2003/arcrole/parent-child,11,
125,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeTaxesCurrent,http://www.xbrl.org/2003/arcrole/parent-child,12,
126,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeTaxesDeferred,http://www.xbrl.org/2003/arcrole/parent-child,13,
127,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeTaxes,http://www.xbrl.org/2003/arcrole/parent-child,14,
128,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitLoss,http://www.xbrl.org/2003/arcrole/parent-child,15,
129,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitAttributableToAbstract,http://www.xbrl.org/2003/arcrole/parent-child,16,
130,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitLossAttributableToOwnersOfParent,http://www.xbrl.org/2003/arcrole/parent-child,17,
131,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitLossAttributableToNonControllingInterests,http://www.xbrl.org/2003/arcrole/parent-child,18,
132,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ComprehensiveIncome,http://www.xbrl.org/2003/arcrole/parent-child,20,
133,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,http://www.xbrl.org/2003/arcrole/parent-child,21,
134,arc,jppfs_cor_YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,jppfs_cor_StatementOfIncomeTable,http://www.xbrl.org/2003/arcrole/parent-child,1,
135,arc,jppfs_cor_StatementOfIncomeTable,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,http://www.xbrl.org/2003/arcrole/parent-child,1,
136,arc,jppfs_cor_StatementOfCashFlowsTable,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,http://www.xbrl.org/2003/arcrole/parent-child,1,
137,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember,http://www.xbrl.org/2003/arcrole/parent-child,1,
138,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_RepaymentOfLongTermLoansPayableFinCF,http://www.xbrl.org/2003/arcrole/parent-child,1,
139,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromIssuanceOfCommonStockFinCF,http://www.xbrl.org/2003/arcrole/parent-child,2,
140,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_PurchaseOfTreasuryStockFinCF,http://www.xbrl.org/2003/arcrole/parent-child,3,
141,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromDisposalOfTreasuryStockFinCF,http://www.xbrl.org/2003/arcrole/parent-child,4,
142,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_CashDividendsPaidFinCF,http://www.xbrl.org/2003/arcrole/parent-child,5,
143,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_RepaymentsOfLeaseObligationsFinCF,http://www.xbrl.org/2003/arcrole/parent-child,6,
144,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromShareIssuanceToNonControllingShareholdersFinCF,http://www.xbrl.org/2003/arcrole/parent-child,7,
145,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInChangeInScopeOfConsolidationFinCF,http://www.xbrl.org/2003/arcrole/parent-child,8,
146,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,http://www.xbrl.org/2003/arcrole/parent-child,9,
147,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_ProceedsFromWithdrawalOfTimeDepositsInvCF,http://www.xbrl.org/2003/arcrole/parent-child,1,
148,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_PurchaseOfPropertyPlantAndEquipmentInvCF,http://www.xbrl.org/2003/arcrole/parent-child,2,
149,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_PurchaseOfIntangibleAssetsInvCF,http://www.xbrl.org/2003/arcrole/parent-child,3,
150,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_ProceedsFromSalesOfInvestmentSecuritiesInvCF,http://www.xbrl.org/2003/arcrole/parent-child,4,
151,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_CollectionOfLoansReceivableInvCF,http://www.xbrl.org/2003/arcrole/parent-child,5,
152,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_PaymentsForGuaranteeDepositsInvCF,http://www.xbrl.org/2003/arcrole/parent-child,6,
153,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_ProceedsFromCollectionOfGuaranteeDepositsInvCF,http://www.xbrl.org/2003/arcrole/parent-child,7,
154,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_OtherNetInvCF,http://www.xbrl.org/2003/arcrole/parent-child,8,
155,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,http://www.xbrl.org/2003/arcrole/parent-child,9,
156,arc,jppfs_cor_StatementOfCashFlowsLineItems,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,http://www.xbrl.org/2003/arcrole/parent-child,1,
157,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncomeBeforeIncomeTaxes,http://www.xbrl.org/2003/arcrole/parent-child,1,
158,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_DepreciationAndAmortizationOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,2,
159,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_ImpairmentLossOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,3,
160,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,4,
161,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_AmortizationOfGoodwillOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,5,
162,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_ShareBasedCompensationExpensesOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,6,
163,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInAllowanceForDoubtfulAccountsOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,7,
164,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInProvisionForBonusesOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,8,
165,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInProvisionForDirectorsBonusesOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,9,
166,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInNetDefinedBenefitLiabilityOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,10,
167,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivitiesAbstract,jppfs_cor_IncreaseDecreaseInProvisionForLossOnOrderReceivedOpeCF,http://www.xbrl.org/2003/arcrole/parent-child,11,
