,type,from,to,arcrole,order,weight
50,arc,jppfs_cor_ShareholdersEquity,jppfs_cor_CapitalStock,http://www.xbrl.org/2003/arcrole/summation-item,1,1
51,arc,jppfs_cor_ShareholdersEquity,jppfs_cor_CapitalSurplus,http://www.xbrl.org/2003/arcrole/summation-item,2,1
52,arc,jppfs_cor_ShareholdersEquity,jppfs_cor_RetainedEarnings,http://www.xbrl.org/2003/arcrole/summation-item,3,1
53,arc,jppfs_cor_ShareholdersEquity,jppfs_cor_TreasuryStock,http://www.xbrl.org/2003/arcrole/summation-item,4,1
54,arc,jppfs_cor_ValuationAndTranslationAdjustments,jppfs_cor_ValuationDifferenceOnAvailableForSaleSecurities,http://www.xbrl.org/2003/arcrole/summation-item,1,1
55,arc,jppfs_cor_ValuationAndTranslationAdjustments,jppfs_cor_ForeignCurrencyTranslationAdjustment,http://www.xbrl.org/2003/arcrole/summation-item,2,1
56,arc,jppfs_cor_ComprehensiveIncome,jppfs_cor_OtherComprehensiveIncome,http://www.xbrl.org/2003/arcrole/summation-item,1,1
57,arc,jppfs_cor_ComprehensiveIncome,jppfs_cor_ProfitLoss,http://www.xbrl.org/2003/arcrole/summation-item,2,1
58,arc,jppfs_cor_ExtraordinaryIncome,jppfs_cor_GainOnSalesOfInvestmentSecuritiesEI,http://www.xbrl.org/2003/arcrole/summation-item,1,1
59,arc,jppfs_cor_ExtraordinaryIncome,jppfs_cor_CompensationIncomeEI,http://www.xbrl.org/2003/arcrole/summation-item,2,1
60,arc,jppfs_cor_ExtraordinaryIncome,jppfs_cor_GainOnReversalOfSubscriptionRightsToSharesEI,http://www.xbrl.org/2003/arcrole/summation-item,3,1
61,arc,jppfs_cor_ExtraordinaryIncome,tse-qcedjpfr-47260_SubsidiariesDirectorsRetirementAllowanceRepaymentGainEI,http://www.xbrl.org/2003/arcrole/summation-item,4,1
62,arc,jppfs_cor_ExtraordinaryLoss,jppfs_cor_ImpairmentLossEL,http://www.xbrl.org/2003/arcrole/summation-item,1,1
63,arc,jppfs_cor_ExtraordinaryLoss,tse-qcedjpfr-47260_SalariesAndAllowanceForPriorPeriodsEL,http://www.xbrl.org/2003/arcrole/summation-item,2,1
64,arc,jppfs_cor_ExtraordinaryLoss,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostEL,http://www.xbrl.org/2003/arcrole/summation-item,3,1
65,arc,jppfs_cor_GrossProfit,jppfs_cor_NetSales,http://www.xbrl.org/2003/arcrole/summation-item,1,1
66,arc,jppfs_cor_GrossProfit,jppfs_cor_CostOfSales,http://www.xbrl.org/2003/arcrole/summation-item,2,-1
67,arc,jppfs_cor_IncomeBeforeIncomeTaxes,jppfs_cor_OrdinaryIncome,http://www.xbrl.org/2003/arcrole/summation-item,1,1
68,arc,jppfs_cor_IncomeBeforeIncomeTaxes,jppfs_cor_ExtraordinaryIncome,http://www.xbrl.org/2003/arcrole/summation-item,2,1
69,arc,jppfs_cor_IncomeBeforeIncomeTaxes,jppfs_cor_ExtraordinaryLoss,http://www.xbrl.org/2003/arcrole/summation-item,3,-1
70,arc,jppfs_cor_IncomeTaxes,jppfs_cor_IncomeTaxesCurrent,http://www.xbrl.org/2003/arcrole/summation-item,1,1
71,arc,jppfs_cor_IncomeTaxes,jppfs_cor_IncomeTaxesDeferred,http://www.xbrl.org/2003/arcrole/summation-item,2,1
72,arc,jppfs_cor_OrdinaryIncome,jppfs_cor_NonOperatingExpenses,http://www.xbrl.org/2003/arcrole/summation-item,3,-1
73,arc,jppfs_cor_NonOperatingExpenses,jppfs_cor_InterestExpensesNOE,http://www.xbrl.org/2003/arcrole/summation-item,1,1
74,arc,jppfs_cor_NonOperatingExpenses,jppfs_cor_ContributionNOE,http://www.xbrl.org/2003/arcrole/summation-item,2,1
75,arc,jppfs_cor_NonOperatingExpenses,jppfs_cor_LossOnInvestmentsInPartnershipNOE,http://www.xbrl.org/2003/arcrole/summation-item,3,1
