,xlink_label,label
0,label_GainOnSalesOfInvestmentsInCapitalEI,出資金売却益
1,label_GainOnSalesOfInvestmentsInCapitalEI_2,出資金売却益、特別利益
2,label_LossGainOnSalesOfInvestmentsInCapitalOpeCF,出資金売却損益（△は益）
3,label_LossGainOnSalesOfInvestmentsInCapitalOpeCF_2,出資金売却損益（△は益）、営業活動によるキャッシュ・フロー
