date	xlink_href	shema	label_for_join	loc_label	xlink:arcrole	xlink_label	xlink_role	xml_lang	label		
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeGrossOperatingRevenues	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeGrossOperatingRevenues	AmountChangeGrossOperatingRevenues	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeGrossOperatingRevenues	http://www.xbrl.org/2003/role/label	ja	増減額
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeGrossOperatingRevenues	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeGrossOperatingRevenues	AmountChangeGrossOperatingRevenues	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeGrossOperatingRevenues_2	http://www.xbrl.org/2003/role/verboseLabel	ja	増減額、営業総収入
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeGrossRevenuesUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeGrossRevenuesUS	AmountChangeGrossRevenuesUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeGrossRevenuesUS	http://www.xbrl.org/2003/role/label	ja	増減額
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeGrossRevenuesUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeGrossRevenuesUS	AmountChangeGrossRevenuesUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeGrossRevenuesUS_2	http://www.xbrl.org/2003/role/verboseLabel	ja	増減額、総収益、米国基準
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	AmountChangeIncomeBeforeIncomeTaxesUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeIncomeBeforeIncomeTaxesUS	http://www.xbrl.org/2003/role/label	ja	増減額
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	AmountChangeIncomeBeforeIncomeTaxesUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeIncomeBeforeIncomeTaxesUS_2	http://www.xbrl.org/2003/role/verboseLabel	ja	増減額、税引前当期純利益、米国基準
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	AmountChangeIncomeBeforeIncomeTaxesUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeIncomeBeforeIncomeTaxesUS_3	http://www.xbrl.tdnet.info/jp/tse/tdnet/role/Quarterly/verboseLabel	ja	増減額、税引前四半期純利益、米国基準
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeIncomeBeforeIncomeTaxesUS	AmountChangeIncomeBeforeIncomeTaxesUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeIncomeBeforeIncomeTaxesUS_4	http://www.xbrl.tdnet.info/jp/tse/tdnet/role/Interim/verboseLabel	ja	増減額、税引前中間純利益、米国基準
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeMinorityInterestUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeIncomeBeforeMinorityInterestUS	AmountChangeIncomeBeforeMinorityInterestUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeIncomeBeforeMinorityInterestUS	http://www.xbrl.org/2003/role/label	ja	増減額
2014-01-12	tse-ed-t-2014-01-12.xsd#tse-ed-t_AmountChangeIncomeBeforeMinorityInterestUS	tse-ed-t-2014-01-12.xsd	tse-ed-t_AmountChangeIncomeBeforeMinorityInterestUS	AmountChangeIncomeBeforeMinorityInterestUS	http://www.xbrl.org/2003/arcrole/concept-label	label_AmountChangeIncomeBeforeMinorityInterestUS_2	http://www.xbrl.org/2003/role/verboseLabel	ja	増減額、当期純利益、米国基準
